,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
,AAPL,AMD,GOOG,META,MSFT,AAPL,AMD,GOOG,META,MSFT,AAPL,AMD,GOOG,META,MSFT,AAPL,AMD,GOOG,META,MSFT,AAPL,AMD,GOOG,META,MSFT,AAPL,AMD,GOOG,META,MSFT
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-21,16.250621795654297,3.369999885559082,24.98883628845215,53.849998474121094,29.30113410949707,18.6200008392334,3.369999885559082,24.98883628845215,53.849998474121094,34.9900016784668,18.725000381469727,3.559999942779541,25.37986946105957,54.810001373291016,35.20000076293945,18.268571853637695,3.299999952316284,24.895435333251953,53.5099983215332,34.90999984741211,18.27750015258789,3.559999942779541,25.192073822021484,54.68000030517578,34.97999954223633,398106800,68891000,145675990,58235000,27433500
2013-10-22,16.204179763793945,3.180000066757202,25.080989837646484,52.68000030517578,28.95779037475586,18.56678581237793,3.180000066757202,25.080989837646484,52.68000030517578,34.58000183105469,18.873214721679688,3.3399999141693115,25.230430603027344,54.7599983215332,35.099998474121094,18.14392852783203,3.119999885559082,24.801786422729492,52.20000076293945,34.52000045776367,18.800357818603516,3.319999933242798,25.031177520751953,54.33000183105469,35.02000045776367,534063600,92506500,88675135,83204000,40438500
2013-10-23,16.362834930419922,3.140000104904175,25.688961029052734,51.900001525878906,28.2711238861084,18.748571395874023,3.140000104904175,25.688961029052734,51.900001525878906,33.7599983215332,18.773929595947266,3.25,25.77215003967285,52.25,34.4900016784668,18.53571319580078,3.0399999618530273,24.922334671020508,51.130001068115234,33.66999816894531,18.53571319580078,3.200000047683716,24.931549072265625,51.75,34.349998474121094,313723200,65948000,106927293,57207000,58600500
2013-10-24,16.579465866088867,3.2300000190734863,25.54300880432129,52.45000076293945,28.237625122070312,18.99678611755371,3.2300000190734863,25.54300880432129,52.45000076293945,33.720001220703125,19.016786575317383,3.299999952316284,25.91710662841797,52.84000015258789,34.099998474121094,18.6589298248291,3.1600000858306885,25.524328231811523,51.59000015258789,33.56999969482422,18.75,3.2100000381469727,25.70041847229004,52.380001068115234,33.81999969482422,384764800,43033200,83997668,46775000,53209700
2013-10-25,16.394004821777344,3.3399999141693115,25.28522491455078,51.95000076293945,29.920827865600586,18.784286499023438,3.3399999141693115,25.28522491455078,51.95000076293945,35.72999954223633,19.043928146362305,3.390000104904175,25.624452590942383,53.2400016784668,36.290000915527344,18.753929138183594,3.2899999618530273,25.17414093017578,51.880001068115234,35.470001220703125,18.9757137298584,3.2899999618530273,25.624452590942383,53.18000030517578,35.880001068115234,337792000,43346300,81524432,45085000,113494000
2013-10-28,16.516189575195312,3.319999933242798,25.280242919921875,50.22999954223633,29.78682518005371,18.924285888671875,3.319999933242798,25.280242919921875,50.22999954223633,35.56999969482422,18.96428680419922,3.390000104904175,25.490205764770508,51.70000076293945,35.72999954223633,18.686071395874023,3.319999933242798,25.230180740356445,49.61000061035156,35.27000045776367,18.894285202026367,3.380000114440918,25.28522491455078,51.540000915527344,35.61000061035156,550440800,23820500,46521724,73472000,38383600
2013-10-29,16.10474967956543,3.3299999237060547,25.809261322021484,49.400001525878906,29.744970321655273,18.452856063842773,3.3299999237060547,25.809261322021484,49.400001525878906,35.52000045776367,19.258928298950195,3.369999885559082,25.82669448852539,50.790000915527344,35.720001220703125,18.376428604125977,3.319999933242798,25.242883682250977,49.25,35.2599983215332,19.15250015258789,3.3399999141693115,25.382360458374023,50.72999954223633,35.630001068115234,635807200,15816500,64440637,102143000,31702200
2013-10-30,16.360963821411133,3.299999952316284,25.664304733276367,49.0099983215332,29.76172637939453,18.746429443359375,3.299999952316284,25.664304733276367,49.0099983215332,35.540000915527344,18.84000015258789,3.359999895095825,25.840892791748047,50.209999084472656,35.790000915527344,18.46500015258789,3.299999952316284,25.554216384887695,48.75,35.43000030517578,18.5575008392334,3.3499999046325684,25.838899612426758,50.0,35.529998779296875,354163600,16208000,53162522,127073000,36997700
2013-10-31,16.292390823364258,3.3399999141693115,25.668289184570312,50.209999084472656,29.652854919433594,18.667856216430664,3.3399999141693115,25.668289184570312,50.209999084472656,35.40999984741211,18.83892822265625,3.3499999046325684,25.940767288208008,52.0,35.689998626708984,18.616785049438477,3.25,25.5036563873291,46.5,35.34000015258789,18.75,3.309999942779541,25.627193450927734,47.15999984741211,35.65999984741211,275696400,18062700,65845885,248809000,41682300
2013-11-01,16.20917510986328,3.309999942779541,25.58011817932129,49.75,29.753355026245117,18.572500228881836,3.309999942779541,25.58011817932129,49.75,35.529998779296875,18.742856979370117,3.369999885559082,25.80328369140625,52.09000015258789,35.689998626708984,18.4228572845459,3.299999952316284,25.531801223754883,49.720001220703125,35.38999938964844,18.71500015258789,3.369999885559082,25.69842529296875,50.849998474121094,35.66999816894531,274890000,14422000,51524405,95033000,40264600
